name,MAP,P@1,P@5,P@10,R@5,R@10,nDCG@5,nDCG@10
run_dense_BAAI_bge-base-en-v1.5,0.3230544022987818,0.2597,0.07806000000000404,0.04416000000000319,0.3903,0.4416,0.3289472072016451,0.34560897513353583
run_dense_BAAI_bge-large-en-v1.5,0.36012476129636123,0.2935,0.08634000000000593,0.04865000000000421,0.4317,0.4865,0.36721825755393417,0.3849370932293652
run_dense_BAAI_bge-small-en-v1.5,0.28326233829675845,0.2237,0.06896000000000198,0.03944000000000212,0.3448,0.3944,0.28824486612979544,0.30426475050189017
run_dense_BAAI_bge3,0.4615052762645475,0.386,0.10890000000001104,0.06031000000000686,0.5445,0.6031,0.4709395220175681,0.48990954111000035
run_dense_chunked_BAAI_bge-small-en-v1.5,0.2718853830188086,0.2123,0.06690000000000151,0.03844000000000189,0.3345,0.3844,0.2769166642104719,0.293041879981658
run_dense_chunked_pooled_BAAI_bge-small-en-v1.5,0.05586487634380876,0.0394,0.014220000000000047,0.008469999999999946,0.0711,0.0847,0.05640917072461108,0.06080829762536066
run_dense_chunked_pooled_v1_BAAI_bge-large-en-v1.5,0.06602634303742715,0.0459,0.016799999999999902,0.010459999999999834,0.084,0.1046,0.06616668879847594,0.0728332204989658
run_dense_chunked_pooled_v2_BAAI_bge-large-en-v1.5,0.07887863428508093,0.0581,0.020239999999999706,0.011889999999999751,0.1012,0.1189,0.08042710239198418,0.0861577479781156
run_dense_chunked_pooled_v3_BAAI_bge-large-en-v1.5,0.06788127358512716,0.0484,0.01717999999999988,0.010619999999999824,0.0859,0.1062,0.06818960192453488,0.07470776048125434
run_dense_chunked_pooled_v4_BAAI_bge-large-en-v1.5,0.11296633107628731,0.0882,0.027899999999999273,0.015909999999999525,0.1395,0.1591,0.11529337308948318,0.1216281429890587
