name,MAP,P@1,P@5,P@10,R@5,R@10,nDCG@5,nDCG@10
TF_IDF,0.708384259072948,0.6353,0.15916000000002248,0.08404000000001226,0.7958,0.8404,0.7223111282948146,0.7368262997677406
BM25,0.7082738654293846,0.6344,0.15916000000002248,0.08404000000001226,0.7958,0.8404,0.7221697177247793,0.7367150345232001
PL2,0.6648033943900787,0.5849,0.1518600000000208,0.08100000000001156,0.7593,0.81,0.6793904084502458,0.6959457728471536
DPH,0.6934567315738285,0.6178,0.15688000000002195,0.08312000000001205,0.7844,0.8312,0.7080647129457751,0.723208599104515
bi-encoder (512)(BAAI/bge-small-en-v1.5),0.11761432415577083,0.092883241986381,0.028633117422355914,0.01637601727287914,0.14316558711177546,0.1637601727287826,0.1196831365760652,0.1263348075493648
bi-encoder (512) (BAAI/bge-base-en-v1.5),0.13413652312688168,0.10783092509549909,0.032411559541606065,0.018335824613852844,0.16205779770802192,0.1833582461385152,0.13658329480221104,0.14350148444342128
bi-encoder chunked (384 64) (BAAI/bge-small-en-v1.5),0.1128904596490652,0.08814980900182694,0.027777777777778404,0.01596080385318132,0.1388888888888889,0.15960803853180536,0.11497951511811655,0.12167492110183441
bi-encoder chunked pooled (384 64 100) (BAAI/bge-small-en-v1.5),0.023195846347703355,0.01635940873609035,0.005904334828101663,0.0035168576648397054,0.02952167414050822,0.03516857664839727,0.02342184467887854,0.02524842120302303
bi-encoder chunked pooled (384 64 100) (BAAI/bge-large-en-v1.5),0.027415023682705177,0.01905829596412556,0.0069755854509217325,0.004343132370038131,0.03487792725460887,0.043431323700381996,0.027473297126090323,0.03024133055097401
bi-encoder chunked pooled (256 128 128) (BAAI/bge-large-en-v1.5),0.03275146748259464, 0.024123899684437802,0.008403919614681824,0.004936887560205843,0.042019598073409735,0.04936887560205946,0.0333944122205548,0.03577385317144809
bi-encoder chunked pooled (512 128 128) (BAAI/bge-large-en-v1.5),0.02818521573871747,0.02009632951336987,0.0071333665504068585,0.0044095665171897626,0.03566683275203455,0.044095665171898356,0.028313237802912675,0.031019664707380146
bi-encoder chunked pooled (128 64 128) (BAAI/bge-large-en-v1.5),0.046905136636890596,0.03662182361733931,0.011584454409566215,0.006606045507390601,0.05792227204783259,0.066060455073908,0.04787135570896993,0.0505016371819709
